Date,Start_Hour,End_Hour,Source,Day_of_Year,Day_Name,Month_Name,Production
9/23/2020,6,7,Wind,267,Wednesday,September,2910
5/23/2025,15,16,Solar,143,Friday,May,10375
4/19/2023,5,6,Wind,109,Wednesday,April,7129
10/19/2025,12,13,Wind,292,Sunday,October,10715
4/7/2020,12,13,Solar,98,Tuesday,April,4828
1/8/2022,1,2,Wind,8,Saturday,January,9914
10/4/2023,17,18,Solar,277,Wednesday,October,3922
6/20/2022,6,7,Wind,171,Monday,June,3790
3/20/2024,9,10,Solar,80,Wednesday,March,5609
3/28/2024,5,6,Wind,88,Thursday,March,14768
9/19/2022,16,17,Solar,262,Monday,September,7420
8/12/2025,20,21,Wind,224,Tuesday,August,1924
11/25/2025,2,3,Wind,329,Tuesday,November,10314
2/16/2021,12,13,Wind,47,Tuesday,February,8667
10/31/2023,0,1,Wind,304,Tuesday,October,7258
7/3/2025,9,10,Solar,184,Thursday,July,7186
11/9/2023,20,21,Wind,313,Thursday,November,13482
7/30/2020,2,3,Wind,212,Thursday,July,2254
11/13/2022,5,6,Wind,317,Sunday,November,2153
7/29/2025,13,14,Solar,210,Tuesday,July,10622
11/4/2023,3,4,Wind,308,Saturday,November,11023
3/6/2020,21,22,Wind,66,Friday,March,4456
6/23/2020,23,0,Wind,175,Tuesday,June,5666
5/1/2022,5,6,Wind,121,Sunday,May,2330
5/9/2022,22,23,Wind,129,Monday,May,429
10/9/2022,21,22,Wind,282,Sunday,October,4626
6/3/2023,13,14,Solar,154,Saturday,June,6483
7/30/2025,19,20,Wind,211,Wednesday,July,4981
12/9/2021,22,23,Wind,343,Thursday,December,10967
9/2/2023,1,2,Wind,245,Saturday,September,1921
4/20/2023,9,10,Wind,110,Thursday,April,7872
4/9/2025,5,6,Wind,99,Wednesday,April,5010
5/3/2025,23,0,Wind,123,Saturday,May,4655
6/25/2024,12,13,Solar,177,Tuesday,June,8208
12/3/2021,6,7,Wind,337,Friday,December,4970
8/8/2025,14,15,Solar,220,Friday,August,4862
6/10/2023,12,13,Solar,161,Saturday,June,7097
7/19/2024,14,15,Solar,201,Friday,July,8080
1/30/2025,23,0,Wind,30,Thursday,January,3089
5/6/2020,22,23,Wind,127,Wednesday,May,2798
3/31/2021,11,12,Solar,90,Wednesday,March,4526
7/23/2021,10,11,Solar,204,Friday,July,4640
1/31/2024,10,11,Solar,31,Wednesday,January,3665
11/7/2024,0,1,Wind,312,Thursday,November,2053
9/24/2023,18,19,Wind,267,Sunday,September,5101
1/8/2021,23,0,Wind,8,Friday,January,1210
10/22/2024,7,8,Wind,296,Tuesday,October,1356
3/31/2025,11,12,Solar,90,Monday,March,11051
1/22/2024,3,4,Wind,22,Monday,January,16755
10/20/2022,19,20,Wind,293,Thursday,October,6213
4/16/2023,3,4,Wind,106,Sunday,April,5597
3/16/2022,16,17,Wind,75,Wednesday,March,3458
3/19/2022,19,20,Wind,78,Saturday,March,8901
4/17/2023,4,5,Wind,107,Monday,April,3497
1/19/2023,5,6,Wind,19,Thursday,January,2581
3/8/2022,2,3,Wind,67,Tuesday,March,8290
6/13/2024,22,23,Wind,165,Thursday,June,5759
9/25/2025,19,20,Wind,268,Thursday,September,2354
6/18/2024,9,10,Solar,170,Tuesday,June,5451
11/26/2023,6,7,Wind,330,Sunday,November,2381
1/6/2024,1,2,Wind,6,Saturday,January,4876
8/24/2025,15,16,Solar,236,Sunday,August,5114
9/15/2025,22,23,Wind,258,Monday,September,12979
8/19/2021,19,20,Wind,231,Thursday,August,2090
3/29/2022,21,22,Wind,88,Tuesday,March,2028
8/6/2022,21,22,Wind,218,Saturday,August,6101
7/24/2020,11,12,Solar,206,Friday,July,4715
2/14/2022,22,23,Wind,45,Monday,February,6121
1/30/2024,2,3,Wind,30,Tuesday,January,7141
8/31/2020,0,1,Wind,244,Monday,August,2798
8/5/2024,20,21,Wind,218,Monday,August,1045
8/21/2025,8,9,Wind,233,Thursday,August,5508
3/16/2021,21,22,Wind,75,Tuesday,March,8421
10/10/2024,13,14,Solar,284,Thursday,October,9309
3/5/2021,13,14,Wind,64,Friday,March,8783
12/24/2022,6,7,Wind,358,Saturday,December,7283
8/11/2021,9,10,Solar,223,Wednesday,August,2522
10/20/2024,14,15,Wind,294,Sunday,October,9513
9/17/2021,5,6,Wind,260,Friday,September,618
1/23/2020,9,10,Wind,23,Thursday,January,5277
10/2/2025,11,12,Solar,275,Thursday,October,8700
10/4/2021,10,11,Wind,277,Monday,October,6128
7/26/2021,19,20,Wind,207,Monday,July,3709
5/31/2025,22,23,Wind,151,Saturday,May,3230
4/19/2024,12,13,Wind,110,Friday,April,17585
9/30/2024,2,3,Wind,274,Monday,September,11126
6/27/2021,21,22,Wind,178,Sunday,June,949
7/8/2025,0,1,Wind,189,Tuesday,July,5508
5/24/2021,1,2,Wind,144,Monday,May,10051
1/26/2020,12,13,Wind,26,Sunday,January,3748
8/17/2021,11,12,Solar,229,Tuesday,August,5886
7/20/2021,4,5,Wind,201,Tuesday,July,3096
12/16/2024,2,3,Wind,351,Monday,December,8208
10/30/2023,1,2,Wind,303,Monday,October,7677
5/17/2024,3,4,Wind,138,Friday,May,1677
10/27/2022,16,17,Wind,300,Thursday,October,5718
8/12/2024,1,2,Wind,225,Monday,August,6953
7/17/2021,21,22,Wind,198,Saturday,July,3940
11/14/2022,17,18,Wind,318,Monday,November,4881
2/1/2023,10,11,Wind,32,Wednesday,February,8553
9/8/2024,9,10,Wind,252,Sunday,September,7424
9/12/2021,0,1,Wind,255,Sunday,September,669
11/17/2020,11,12,Wind,322,Tuesday,November,5342
4/8/2021,11,12,Solar,98,Thursday,April,4474
9/12/2021,2,3,Wind,255,Sunday,September,795
5/14/2023,0,1,Wind,134,Sunday,May,5165
6/13/2024,14,15,Solar,165,Thursday,June,12138
6/12/2022,22,23,Wind,163,Sunday,June,4342
3/30/2021,14,15,Solar,89,Tuesday,March,5712
8/28/2020,22,23,Wind,241,Friday,August,3019
6/24/2022,1,2,Wind,175,Friday,June,2331
11/5/2023,15,16,Wind,309,Sunday,November,17260
10/26/2022,4,5,Wind,299,Wednesday,October,6736
10/4/2020,11,12,Wind,278,Sunday,October,11732
6/16/2022,21,22,Wind,167,Thursday,June,1259
2/20/2023,22,23,Wind,51,Monday,February,2348
8/18/2022,21,22,Wind,230,Thursday,August,3736
6/23/2022,3,4,Wind,174,Thursday,June,887
7/8/2022,10,11,Solar,189,Friday,July,6364
5/25/2021,5,6,Wind,145,Tuesday,May,10039
8/12/2024,2,3,Wind,225,Monday,August,6436
8/6/2020,3,4,Wind,219,Thursday,August,1330
2/3/2020,5,6,Wind,34,Monday,February,8238
8/10/2025,5,6,Wind,222,Sunday,August,2840
4/16/2025,3,4,Wind,106,Wednesday,April,4022
6/21/2021,19,20,Wind,172,Monday,June,3618
11/21/2022,21,22,Wind,325,Monday,November,11758
12/8/2023,16,17,Wind,342,Friday,December,4948
12/20/2024,14,15,Wind,355,Friday,December,9894
4/6/2020,6,7,Wind,97,Monday,April,7340
8/10/2020,3,4,Wind,223,Monday,August,2040
5/14/2022,8,9,Solar,134,Saturday,May,2653
7/6/2021,2,3,Wind,187,Tuesday,July,8978
9/1/2020,3,4,Wind,245,Tuesday,September,1427
10/20/2025,15,16,Wind,293,Monday,October,18573
3/14/2023,4,5,Wind,73,Tuesday,March,15459
11/17/2025,6,7,Wind,321,Monday,November,7600
7/3/2024,0,1,Wind,185,Wednesday,July,1953
3/28/2020,5,6,Wind,88,Saturday,March,2175
7/8/2023,9,10,Solar,189,Saturday,July,5162
9/25/2023,20,21,Wind,268,Monday,September,269
6/28/2020,16,17,Wind,180,Sunday,June,6374
6/7/2024,9,10,Solar,159,Friday,June,4085
8/3/2024,11,12,Solar,216,Saturday,August,8051
12/9/2024,4,5,Wind,344,Monday,December,13835
11/3/2023,7,8,Wind,307,Friday,November,9663
6/19/2023,2,3,Wind,170,Monday,June,2884
7/23/2025,21,22,Wind,204,Wednesday,July,1975
4/27/2025,15,16,Solar,117,Sunday,April,3694
8/10/2022,18,19,Wind,222,Wednesday,August,7190
10/8/2020,1,2,Wind,282,Thursday,October,4968
3/14/2024,18,19,Wind,74,Thursday,March,6419
6/29/2021,12,13,Solar,180,Tuesday,June,4855
10/6/2025,5,6,Wind,279,Monday,October,3542
5/13/2023,0,1,Wind,133,Saturday,May,4608
3/25/2022,20,21,Wind,84,Friday,March,7801
3/8/2020,17,18,Wind,68,Sunday,March,8607
7/20/2020,3,4,Wind,202,Monday,July,2894
8/18/2022,23,0,Wind,230,Thursday,August,3907
1/25/2023,20,21,Wind,25,Wednesday,January,1669
6/22/2024,17,18,Wind,174,Saturday,June,7566
12/25/2024,3,4,Wind,360,Wednesday,December,1627
2/29/2020,11,12,Wind,60,Saturday,February,13600
2/11/2021,5,6,Wind,42,Thursday,February,4727
8/9/2021,0,1,Wind,221,Monday,August,2949
1/18/2022,8,9,Wind,18,Tuesday,January,3567
1/17/2022,3,4,Wind,17,Monday,January,1311
2/27/2023,22,23,Wind,58,Monday,February,10530
5/27/2024,6,7,Wind,148,Monday,May,1993
3/23/2024,0,1,Wind,83,Saturday,March,7939
11/30/2023,7,8,Wind,334,Thursday,November,1838
4/26/2024,17,18,Solar,117,Friday,April,4769
2/23/2025,4,5,Wind,54,Sunday,February,2042
4/15/2022,6,7,Wind,105,Friday,April,1302
2/18/2023,12,13,Wind,49,Saturday,February,13064
8/3/2025,18,19,Wind,215,Sunday,August,9140
12/9/2020,16,17,Wind,344,Wednesday,December,2188
3/5/2025,1,2,Wind,64,Wednesday,March,2284
3/4/2020,21,22,Wind,64,Wednesday,March,5942
7/12/2020,20,21,Wind,194,Sunday,July,3022
1/27/2025,16,17,Wind,27,Monday,January,17660
5/29/2022,18,19,Wind,149,Sunday,May,6869
12/21/2022,14,15,Wind,355,Wednesday,December,10711
9/28/2020,1,2,Wind,272,Monday,September,4675
6/19/2025,2,3,Wind,170,Thursday,June,5071
5/31/2023,15,16,Wind,151,Wednesday,May,13403
10/18/2023,19,20,Wind,291,Wednesday,October,13376
10/9/2023,10,11,Solar,282,Monday,October,4302
12/29/2021,0,1,Wind,363,Wednesday,December,10141
9/29/2025,5,6,Wind,272,Monday,September,1639
1/4/2023,2,3,Wind,4,Wednesday,January,14210
1/15/2023,8,9,Wind,15,Sunday,January,14452
12/9/2021,0,1,Wind,343,Thursday,December,5506
2/6/2021,2,3,Wind,37,Saturday,February,2352
9/13/2024,14,15,Solar,257,Friday,September,11402
6/6/2024,0,1,Wind,158,Thursday,June,1554
6/9/2025,17,18,Solar,160,Monday,June,6442
4/29/2021,3,4,Wind,119,Thursday,April,2499
7/7/2025,0,1,Wind,188,Monday,July,5737
6/17/2024,6,7,Wind,169,Monday,June,2438
11/9/2022,9,10,Wind,313,Wednesday,November,7949
3/7/2024,19,20,Wind,67,Thursday,March,11647
6/20/2020,18,19,Solar,172,Saturday,June,3049
6/7/2020,22,23,Wind,159,Sunday,June,1679
12/3/2020,22,23,Wind,338,Thursday,December,12279
1/20/2025,15,16,Solar,20,Monday,January,2407
5/29/2021,11,12,Solar,149,Saturday,May,5331
8/27/2021,8,9,Wind,239,Friday,August,3316
4/2/2021,1,2,Wind,92,Friday,April,7379
10/25/2020,15,16,Wind,299,Sunday,October,7515
10/20/2021,21,22,Wind,293,Wednesday,October,13802
12/3/2022,9,10,Wind,337,Saturday,December,6631
3/9/2022,3,4,Wind,68,Wednesday,March,3818
5/3/2023,6,7,Wind,123,Wednesday,May,6633
5/9/2022,23,0,Wind,129,Monday,May,499
11/2/2025,16,17,Wind,306,Sunday,November,12365
6/3/2025,12,13,Wind,154,Tuesday,June,7229
5/26/2023,5,6,Wind,146,Friday,May,6064
6/24/2025,7,8,Wind,175,Tuesday,June,2970
8/2/2025,12,13,Solar,214,Saturday,August,11621
10/30/2022,23,0,Wind,303,Sunday,October,2035
9/28/2025,13,14,Solar,271,Sunday,September,6541
7/12/2023,18,19,Wind,193,Wednesday,July,8218
2/19/2022,10,11,Wind,50,Saturday,February,8915
1/4/2025,2,3,Wind,4,Saturday,January,2886
3/6/2021,18,19,Wind,65,Saturday,March,3757
1/2/2025,19,20,Wind,2,Thursday,January,3287
11/24/2020,20,21,Wind,329,Tuesday,November,6418
9/30/2023,20,21,Wind,273,Saturday,September,593
3/22/2023,18,19,Wind,81,Wednesday,March,11937
8/29/2024,0,1,Wind,242,Thursday,August,2731
2/3/2022,0,1,Wind,34,Thursday,February,2135
6/15/2025,13,14,Solar,166,Sunday,June,4178
11/28/2024,19,20,Wind,333,Thursday,November,2906
2/5/2021,22,23,Wind,36,Friday,February,2507
3/24/2025,15,16,Solar,83,Monday,March,5993
7/4/2023,9,10,Solar,185,Tuesday,July,4186
11/20/2020,2,3,Wind,325,Friday,November,3795
3/18/2020,6,7,Wind,78,Wednesday,March,794
9/27/2024,1,2,Wind,271,Friday,September,9455
6/15/2020,22,23,Wind,167,Monday,June,1914
12/17/2023,7,8,Wind,351,Sunday,December,2892
1/16/2020,3,4,Wind,16,Thursday,January,3101
3/1/2020,7,8,Wind,61,Sunday,March,9464
12/6/2023,11,12,Solar,340,Wednesday,December,3781
11/15/2021,20,21,Wind,319,Monday,November,1948
11/21/2024,11,12,Wind,326,Thursday,November,8588
8/16/2021,4,5,Wind,228,Monday,August,3451
7/28/2025,7,8,Wind,209,Monday,July,4386
3/20/2023,23,0,Wind,79,Monday,March,2603
1/12/2025,12,13,Solar,12,Sunday,January,7726
8/25/2024,19,20,Wind,238,Sunday,August,3343
11/2/2025,10,11,Wind,306,Sunday,November,13628
7/14/2024,23,0,Wind,196,Sunday,July,313
2/4/2024,18,19,Wind,35,Sunday,February,8240
8/28/2020,2,3,Wind,241,Friday,August,5937
8/10/2021,20,21,Wind,222,Tuesday,August,756
11/5/2021,16,17,Wind,309,Friday,November,2115
12/7/2024,18,19,Wind,342,Saturday,December,18217
9/20/2025,2,3,Wind,263,Saturday,September,6636
5/11/2024,22,23,Wind,132,Saturday,May,4042
12/21/2021,6,7,Wind,355,Tuesday,December,2806
5/28/2020,10,11,Solar,149,Thursday,May,5248
2/17/2023,17,18,Wind,48,Friday,February,8900
2/26/2023,8,9,Wind,57,Sunday,February,13872
9/24/2021,13,14,Solar,267,Friday,September,5163
8/5/2020,23,0,Wind,218,Wednesday,August,1308
9/27/2020,8,9,Wind,271,Sunday,September,12307
7/11/2022,17,18,Solar,192,Monday,July,7207
5/13/2020,0,1,Wind,134,Wednesday,May,3209
7/3/2025,11,12,Solar,184,Thursday,July,9351
8/25/2025,14,15,Solar,237,Monday,August,8286
8/7/2020,8,9,Wind,220,Friday,August,2502
1/19/2021,15,16,Wind,19,Tuesday,January,10102
9/14/2023,12,13,Solar,257,Thursday,September,6556
7/15/2023,5,6,Wind,196,Saturday,July,5487
2/18/2024,4,5,Wind,49,Sunday,February,6541
8/1/2024,4,5,Wind,214,Thursday,August,1942
8/29/2020,11,12,Wind,242,Saturday,August,4250
8/20/2021,3,4,Wind,232,Friday,August,672
4/10/2022,6,7,Wind,100,Sunday,April,1342
10/6/2021,18,19,Wind,279,Wednesday,October,5968
9/14/2023,8,9,Solar,257,Thursday,September,1563
10/14/2023,20,21,Wind,287,Saturday,October,1786
9/18/2021,0,1,Wind,261,Saturday,September,1220
7/15/2023,11,12,Wind,196,Saturday,July,12344
5/1/2023,23,0,Wind,121,Monday,May,3387
4/18/2022,18,19,Solar,108,Monday,April,3136
5/30/2025,2,3,Wind,150,Friday,May,1200
4/30/2021,14,15,Solar,120,Friday,April,2910
3/27/2024,18,19,Wind,87,Wednesday,March,11185
6/21/2020,20,21,Wind,173,Sunday,June,4535
9/4/2025,14,15,Wind,247,Thursday,September,15384
5/30/2024,12,13,Wind,151,Thursday,May,9625
1/29/2020,22,23,Wind,29,Wednesday,January,5650
7/11/2021,17,18,Solar,192,Sunday,July,3657
9/6/2025,4,5,Wind,249,Saturday,September,4352
2/9/2024,6,7,Wind,40,Friday,February,15819
12/9/2021,4,5,Wind,343,Thursday,December,5642
9/7/2022,11,12,Solar,250,Wednesday,September,6385
11/1/2023,19,20,Wind,305,Wednesday,November,14069
8/11/2023,8,9,Solar,223,Friday,August,2805
9/5/2025,18,19,Solar,248,Friday,September,3777
3/19/2023,5,6,Wind,78,Sunday,March,2501
4/6/2023,16,17,Wind,96,Thursday,April,11196
3/11/2020,11,12,Wind,71,Wednesday,March,11831
1/4/2022,21,22,Wind,4,Tuesday,January,9412
4/21/2020,2,3,Wind,112,Tuesday,April,6292
5/24/2025,9,10,Solar,144,Saturday,May,9226
8/11/2025,23,0,Wind,223,Monday,August,6289
12/11/2023,12,13,Wind,345,Monday,December,11218
11/26/2022,15,16,Wind,330,Saturday,November,4644
11/11/2023,12,13,Solar,315,Saturday,November,6252
5/4/2023,20,21,Wind,124,Thursday,May,3982
10/24/2022,21,22,Wind,297,Monday,October,8277
12/26/2024,16,17,Wind,361,Thursday,December,2276
11/28/2025,11,12,Wind,332,Friday,November,10097
10/5/2020,20,21,Wind,279,Monday,October,9822
6/17/2025,7,8,Wind,168,Tuesday,June,3148
5/14/2022,4,5,Wind,134,Saturday,May,1879
2/26/2025,6,7,Wind,57,Wednesday,February,7597
10/30/2022,3,4,Wind,303,Sunday,October,3059
5/1/2020,9,10,Wind,122,Friday,May,7350
8/24/2020,5,6,Wind,237,Monday,August,1735
4/15/2025,17,18,Wind,105,Tuesday,April,13469
4/15/2025,14,15,Wind,105,Tuesday,April,7276
5/5/2023,23,0,Wind,125,Friday,May,1560
12/17/2023,9,10,Wind,351,Sunday,December,4025
2/7/2022,1,2,Wind,38,Monday,February,14177
7/4/2023,6,7,Wind,185,Tuesday,July,1388
1/6/2023,21,22,Wind,6,Friday,January,8019
9/3/2023,2,3,Wind,246,Sunday,September,3744
1/10/2023,7,8,Wind,10,Tuesday,January,7396
11/2/2022,12,13,Wind,306,Wednesday,November,9330
10/28/2021,5,6,Wind,301,Thursday,October,5738
1/22/2022,2,3,Wind,22,Saturday,January,3222
7/17/2024,5,6,Wind,199,Wednesday,July,1516
5/11/2022,13,14,Wind,131,Wednesday,May,13441
5/19/2024,15,16,Solar,140,Sunday,May,3223
12/27/2022,8,9,Wind,361,Tuesday,December,4022
11/24/2020,6,7,Wind,329,Tuesday,November,1985
2/16/2025,18,19,Wind,47,Sunday,February,5834
5/3/2024,3,4,Wind,124,Friday,May,8294
5/6/2020,11,12,Solar,127,Wednesday,May,4795
7/20/2022,10,11,Solar,201,Wednesday,July,4378
3/19/2024,9,10,Solar,79,Tuesday,March,4668
12/2/2022,0,1,Wind,336,Friday,December,2495
6/19/2025,0,1,Wind,170,Thursday,June,4891
4/26/2022,12,13,Solar,116,Tuesday,April,7883
3/16/2020,8,9,Wind,76,Monday,March,3472
7/19/2024,19,20,Solar,201,Friday,July,2644
9/30/2023,22,23,Wind,273,Saturday,September,1059
12/11/2024,21,22,Wind,346,Wednesday,December,5503
5/30/2025,5,6,Wind,150,Friday,May,791
2/21/2024,7,8,Wind,52,Wednesday,February,6947
6/3/2024,17,18,Solar,155,Monday,June,6535
11/12/2024,6,7,Wind,317,Tuesday,November,9835
8/5/2021,2,3,Wind,217,Thursday,August,1703
6/19/2025,4,5,Wind,170,Thursday,June,5141
9/9/2023,10,11,Solar,252,Saturday,September,5575
9/19/2020,3,4,Wind,263,Saturday,September,5122
8/22/2022,18,19,Wind,234,Monday,August,3644
9/24/2023,6,7,Wind,267,Sunday,September,3180
9/13/2025,10,11,Wind,256,Saturday,September,11069
4/21/2023,21,22,Wind,111,Friday,April,3016
4/6/2022,22,23,Wind,96,Wednesday,April,14100
9/6/2024,12,13,Solar,250,Friday,September,6067
8/21/2021,16,17,Solar,233,Saturday,August,5586
1/21/2024,4,5,Wind,21,Sunday,January,11119
1/1/2025,20,21,Wind,1,Wednesday,January,16319
1/6/2024,2,3,Wind,6,Saturday,January,4860
3/16/2021,8,9,Wind,75,Tuesday,March,3225
5/28/2024,4,5,Wind,149,Tuesday,May,4116
4/7/2025,13,14,Solar,97,Monday,April,10124
1/1/2021,21,22,Wind,1,Friday,January,1293
6/3/2025,19,20,Wind,154,Tuesday,June,7566
5/13/2022,9,10,Solar,133,Friday,May,3662
1/3/2020,18,19,Wind,3,Friday,January,5899
10/14/2024,16,17,Wind,288,Monday,October,5153
6/14/2021,20,21,Wind,165,Monday,June,1689
10/19/2025,0,1,Wind,292,Sunday,October,7076
11/4/2024,6,7,Wind,309,Monday,November,2752
12/19/2020,16,17,Wind,354,Saturday,December,6734
4/2/2024,11,12,Wind,93,Tuesday,April,19760
8/12/2021,15,16,Solar,224,Thursday,August,4319
2/15/2023,22,23,Wind,46,Wednesday,February,4376
10/9/2024,4,5,Wind,283,Wednesday,October,10765
3/8/2023,20,21,Wind,67,Wednesday,March,12273
7/25/2022,7,8,Wind,206,Monday,July,3847
3/31/2023,3,4,Wind,90,Friday,March,13640
2/21/2024,10,11,Wind,52,Wednesday,February,12535
9/9/2020,18,19,Wind,253,Wednesday,September,2154
6/27/2020,17,18,Wind,179,Saturday,June,10462
12/20/2021,4,5,Wind,354,Monday,December,2972
8/17/2024,20,21,Wind,230,Saturday,August,2269
8/21/2023,16,17,Solar,233,Monday,August,5797
3/23/2025,10,11,Wind,82,Sunday,March,9466
11/9/2024,14,15,Solar,314,Saturday,November,1980
10/5/2025,20,21,Wind,278,Sunday,October,7283
1/30/2022,6,7,Wind,30,Sunday,January,2562
8/31/2022,4,5,Wind,243,Wednesday,August,2403
1/20/2024,6,7,Wind,20,Saturday,January,3021
10/3/2021,2,3,Wind,276,Sunday,October,10744
3/24/2023,10,11,Wind,83,Friday,March,16273
7/9/2025,4,5,Wind,190,Wednesday,July,1607
8/26/2025,11,12,Solar,238,Tuesday,August,8522
5/4/2022,0,1,Wind,124,Wednesday,May,3383
10/23/2022,3,4,Wind,296,Sunday,October,6405
5/19/2020,7,8,Wind,140,Tuesday,May,2969
5/1/2020,16,17,Wind,122,Friday,May,9835
11/24/2021,9,10,Wind,328,Wednesday,November,4085
2/19/2023,21,22,Wind,50,Sunday,February,3080
8/9/2020,3,4,Wind,222,Sunday,August,1670
12/12/2023,12,13,Wind,346,Tuesday,December,11961
8/31/2023,3,4,Wind,243,Thursday,August,2585
2/5/2020,2,3,Wind,36,Wednesday,February,3761
9/7/2024,3,4,Wind,251,Saturday,September,2955
10/20/2022,12,13,Wind,293,Thursday,October,8001
4/18/2024,9,10,Wind,109,Thursday,April,6133
12/22/2024,10,11,Wind,357,Sunday,December,19669
9/5/2021,13,14,Solar,248,Sunday,September,4950
9/7/2024,4,5,Wind,251,Saturday,September,2919
11/15/2022,19,20,Wind,319,Tuesday,November,8728
10/25/2022,12,13,Solar,298,Tuesday,October,5477
8/21/2020,16,17,Wind,234,Friday,August,9899
4/6/2023,13,14,Solar,96,Thursday,April,10680
7/8/2020,17,18,Wind,190,Wednesday,July,5936
4/14/2020,21,22,Wind,105,Tuesday,April,5919
11/13/2023,10,11,Wind,317,Monday,November,18212
3/10/2024,22,23,Wind,70,Sunday,March,2196
7/7/2024,11,12,Solar,189,Sunday,July,5795
12/22/2023,4,5,Wind,356,Friday,December,16134
10/30/2025,5,6,Wind,303,Thursday,October,5128
10/24/2020,13,14,Wind,298,Saturday,October,13123
4/1/2021,9,10,Solar,91,Thursday,April,2949
3/31/2025,19,20,Wind,90,Monday,March,7769
11/7/2023,4,5,Wind,311,Tuesday,November,7182
10/12/2024,1,2,Wind,286,Saturday,October,6402
1/7/2020,11,12,Wind,7,Tuesday,January,3800
1/10/2020,19,20,Wind,10,Friday,January,1884
3/23/2020,5,6,Wind,83,Monday,March,7753
8/11/2023,19,20,Wind,223,Friday,August,3321
8/20/2022,6,7,Wind,232,Saturday,August,1709
6/7/2022,23,0,Wind,158,Tuesday,June,2997
8/17/2021,10,11,Solar,229,Tuesday,August,4585
4/27/2021,6,7,Wind,117,Tuesday,April,3762
3/27/2023,6,7,Wind,86,Monday,March,5162
3/27/2021,7,8,Wind,86,Saturday,March,8514
9/9/2022,18,19,Wind,252,Friday,September,9976
7/31/2023,19,20,Wind,212,Monday,July,12863
12/26/2020,5,6,Wind,361,Saturday,December,2782
9/23/2021,3,4,Wind,266,Thursday,September,1039
2/18/2021,9,10,Wind,49,Thursday,February,11492
1/11/2024,8,9,Wind,11,Thursday,January,7025
8/8/2024,10,11,Solar,221,Thursday,August,6478
11/26/2020,22,23,Wind,331,Thursday,November,1751
6/7/2022,22,23,Wind,158,Tuesday,June,2808
12/30/2023,20,21,Wind,364,Saturday,December,14467
9/6/2023,10,11,Solar,249,Wednesday,September,5406
11/29/2022,13,14,Solar,333,Tuesday,November,3005
4/13/2025,11,12,Wind,103,Sunday,April,5254
8/16/2021,14,15,Wind,228,Monday,August,10760
6/12/2025,5,6,Wind,163,Thursday,June,6786
4/26/2023,21,22,Wind,116,Wednesday,April,1156
2/17/2024,15,16,Solar,48,Saturday,February,6175
10/14/2021,21,22,Wind,287,Thursday,October,1352
10/7/2023,13,14,Solar,280,Saturday,October,8496
6/22/2022,7,8,Wind,173,Wednesday,June,2981
9/3/2023,16,17,Solar,246,Sunday,September,8265
5/6/2022,21,22,Wind,126,Friday,May,3391
4/29/2021,4,5,Wind,119,Thursday,April,2324
7/1/2020,5,6,Wind,183,Wednesday,July,3491
2/5/2025,8,9,Wind,36,Wednesday,February,2357
10/1/2023,6,7,Wind,274,Sunday,October,2370
3/17/2020,15,16,Solar,77,Tuesday,March,2024
9/11/2025,20,21,Wind,254,Thursday,September,9907
6/13/2022,17,18,Solar,164,Monday,June,5365
3/17/2021,6,7,Wind,76,Wednesday,March,8497
9/26/2023,9,10,Solar,269,Tuesday,September,5128
3/9/2021,21,22,Wind,68,Tuesday,March,2173
12/16/2023,20,21,Wind,350,Saturday,December,2653
4/24/2021,13,14,Solar,114,Saturday,April,8948
7/8/2025,3,4,Wind,189,Tuesday,July,5591
10/7/2021,8,9,Wind,280,Thursday,October,1778
11/14/2025,15,16,Wind,318,Friday,November,12662
4/10/2022,22,23,Wind,100,Sunday,April,6732
2/5/2022,1,2,Wind,36,Saturday,February,5444
6/6/2020,22,23,Wind,158,Saturday,June,4226
8/6/2023,10,11,Wind,218,Sunday,August,15426
7/17/2023,14,15,Solar,198,Monday,July,10701
8/31/2020,20,21,Wind,244,Monday,August,1434
10/5/2025,10,11,Wind,278,Sunday,October,9665
8/13/2025,21,22,Wind,225,Wednesday,August,3955
1/11/2024,6,7,Wind,11,Thursday,January,5822
11/2/2024,8,9,Wind,307,Saturday,November,4323
12/15/2024,19,20,Wind,350,Sunday,December,9436
8/29/2021,6,7,Wind,241,Sunday,August,3471
10/26/2021,21,22,Wind,299,Tuesday,October,3701
5/8/2020,0,1,Wind,129,Friday,May,2310
2/16/2023,15,16,Wind,47,Thursday,February,9834
9/11/2022,18,19,Solar,254,Sunday,September,2590
10/3/2023,18,19,Wind,276,Tuesday,October,7125
3/3/2020,1,2,Wind,63,Tuesday,March,7503
6/7/2021,8,9,Solar,158,Monday,June,2089
3/29/2022,0,1,Wind,88,Tuesday,March,3054
7/10/2023,14,15,Solar,191,Monday,July,8877
10/13/2025,12,13,Solar,286,Monday,October,12401
2/27/2022,17,18,Wind,58,Sunday,February,4942
11/30/2025,10,11,Wind,334,Sunday,November,5462
7/23/2024,8,9,Wind,205,Tuesday,July,7932
8/5/2022,11,12,Solar,217,Friday,August,7264
5/14/2024,8,9,Wind,135,Tuesday,May,6344
8/8/2024,21,22,Wind,221,Thursday,August,2172
12/21/2024,8,9,Wind,356,Saturday,December,8136
10/29/2020,8,9,Wind,303,Thursday,October,7376
8/9/2021,12,13,Wind,221,Monday,August,8363
8/3/2020,13,14,Wind,216,Monday,August,6435
